"Subject" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
"1" 1 -0.744776867341777 -0.746379859079411 -0.74670697308305 -0.383138718688577 -0.21577265313244 -0.382992324573922
"2" 2 -0.681581978523055 -0.725010256710861 -0.751886863913404 -0.193204572492262 -0.150109285538807 -0.331010412092424
"3" 3 -0.731324690617382 -0.747175598525503 -0.744203102988266 -0.309280113929322 -0.233445826587078 -0.302507349895375
"4" 4 -0.734347688677236 -0.707845449974583 -0.712068206745217 -0.326230926378905 -0.179631470469191 -0.33073288138237
"5" 5 -0.742143249540819 -0.728175891288928 -0.733721787491684 -0.0739875703910806 0.122771600741758 -0.249040767801934
"6" 6 -0.727454387718567 -0.743125990670937 -0.740332493442983 -0.26188412491922 -0.0358740660948201 -0.245923663225764
"7" 7 -0.735129197951632 -0.72807854882845 -0.726785296080127 -0.192539573552044 -0.133919039547095 -0.233966026698404
"8" 8 -0.717751962597095 -0.726283550604493 -0.735366848609523 -0.117508249122597 -0.10194287352876 -0.209643024883015
"9" 9 -0.73776897699399 -0.71816250875378 -0.698248943096751 -0.315603849815559 -0.217249992347359 -0.309637409369464
"10" 10 -0.72826794603745 -0.712905186478004 -0.723169679977658 -0.271924856731604 -0.104654147201644 -0.238318476965395
"11" 11 -0.690220762967389 -0.725659760508731 -0.738090135523733 -0.106312276823761 0.00602927194706439 -0.257072235581591
"12" 12 -0.714091437241656 -0.714898058937974 -0.725824852727622 -0.207037045681215 -0.0552570135802962 -0.258285482956185
"13" 13 -0.723889966926786 -0.728320368715912 -0.735324128855415 -0.151277901036861 -0.0737824952063384 -0.255125248252546
"14" 14 -0.673544873283287 -0.736693228726281 -0.737056062240128 -0.42015627084922 -0.345951992614543 -0.435418743421543
"15" 15 -0.744683873718817 -0.732209186814351 -0.741421806758138 -0.318740418835688 -0.192215312909318 -0.342793823190222
"16" 16 -0.747039773104429 -0.738607565821911 -0.743828559458429 -0.316661714890906 -0.179495096667018 -0.344199806603834
"17" 17 -0.751253481039603 -0.731041115599865 -0.712417065277087 -0.338911713118842 -0.176650438648261 -0.357899310876344
"18" 18 -0.739250481303299 -0.730213416461106 -0.747503181881309 -0.321602536187618 -0.156399220550116 -0.301841460723028
"19" 19 -0.745428141532068 -0.739022156685121 -0.746979641390065 -0.265122609365723 -0.138656754908159 -0.266827170548201
"20" 20 -0.706780359580511 -0.730278809106672 -0.734153081727076 -0.288349500486322 0.00341910027488552 -0.146086716602121
"21" 21 -0.73371945664569 -0.732058477455571 -0.714291901922109 -0.264160209551923 -0.205201065725239 -0.317071050855023
"22" 22 -0.743126753233842 -0.737361985616243 -0.739970261016944 -0.32544820638322 -0.105795156660891 -0.276051376241555
"23" 23 -0.728668034663377 -0.722400881995752 -0.710660299037122 -0.392128132692634 -0.281840698460603 -0.327698684882015
"24" 24 -0.732749359617667 -0.729254692034955 -0.744564406511825 -0.306114313281622 -0.114055542511411 -0.294341669544798
"25" 25 -0.732163489195069 -0.705858431845309 -0.717220238825692 -0.256893539330721 -0.135322275549803 -0.307570315579484
"26" 26 -0.738423036527458 -0.732873743469504 -0.721224094347658 -0.24536200857799 -0.195786652797168 -0.295830700353981
"27" 27 -0.731168410513377 -0.735239423441511 -0.742391626905495 -0.213962402064883 -0.15241273337952 -0.339801981235275
"28" 28 -0.746133039821382 -0.743850843467203 -0.743033221722193 -0.394478845416299 -0.377526737575512 -0.406807723070652
"29" 29 -0.737847526254904 -0.726102407642704 -0.700292614238444 -0.0954032717082775 -0.0458055951405788 -0.207847647483599
"30" 30 -0.738162801094621 -0.737144249115584 -0.734420049761198 -0.356957437224817 -0.241425533951455 -0.35580112212923
